Word,SS,Lw,Ec,Ci,At,Li,EE,ME,Sp,Me,mean,,,
computer,0.72760272,0.484515309,0.47102797,0.356988549,0.523583174,0.478019059,0.691860437,0.577902019,0.33153668,0.443605125,0.508664104,,,
system,0.655487001,0.416960984,0.486687839,0.448278129,0.589152157,0.503659487,0.587589741,0.518512785,0.371236235,0.539359868,0.511692423,,,
science,0.775118113,0.560699403,0.612218738,0.553260207,0.618733585,0.532555282,0.664237022,0.61336273,0.595196843,0.672514021,0.619789594,,,
also,0.315534502,0.153669015,0.203421414,0.222231671,0.296763718,0.26973179,0.268484563,0.271310866,0.155193493,0.215183809,0.237152484,,,
university,0.769379616,0.749658883,0.737725914,0.615378439,0.707805276,0.713088512,0.743510604,0.686048985,0.746045589,0.710543752,0.717918557,,,
data,0.828663826,0.629806399,0.589932323,0.606298864,0.684893966,0.649053633,0.689447522,0.633985043,0.585336328,0.76747942,0.666489732,,,
language,0.624914706,0.535054266,0.477616459,0.472757459,0.595396459,0.539448142,0.706452191,0.530785084,0.49348861,0.438078851,0.541399223,,,
used,0.541495621,0.382429332,0.333600432,0.376538515,0.363343328,0.372819692,0.385785341,0.398129195,0.29314816,0.40269199,0.384998161,,,
program,0.703119814,0.623147845,0.492369324,0.528686941,0.643101931,0.671528876,0.745060623,0.673883915,0.494975448,0.63087976,0.620675448,,,
first,0.456193835,0.287492692,0.384189904,0.396600336,0.35504365,0.297729105,0.404061437,0.412429512,0.37802422,0.34103781,0.37128025,,,
may,0.434833884,0.258813858,0.162698865,0.159633115,0.332407236,0.304782629,0.296861887,0.225601867,0.259879768,0.27895841,0.271447152,,,
software,0.813183486,0.666076839,0.529453218,0.714067757,0.763505459,0.629678428,0.845252931,0.821496308,0.582829893,0.578222275,0.694376659,,,
information,0.814097822,0.584463596,0.593952596,0.564251184,0.573850572,0.568847835,0.683604658,0.645012081,0.467521876,0.625204504,0.612080672,,,
time,0.357435673,0.23597987,0.297131628,0.266213119,0.345035374,0.372626394,0.323926955,0.440964699,0.223998919,0.312359929,0.317567256,,,
engineering,0.890147924,0.707202554,0.740574419,0.754420578,0.682410121,0.713542104,0.792740822,0.731608868,0.638691127,0.740648687,0.73919872,,,
programming,0.673760414,0.617456198,0.268742561,0.333526701,0.651542783,0.389351249,0.811482608,0.68445003,0.254043669,0.405278057,0.508963427,,,
use,0.589876533,0.331071764,0.404145449,0.360848367,0.394894212,0.443060547,0.490822643,0.438194335,0.425882101,0.466635615,0.434543157,,,
study,0.744869888,0.5479967,0.538762271,0.407171488,0.656895876,0.579580963,0.670081019,0.647228777,0.594989777,0.616658628,0.600423539,,,
function,0.709013402,0.47005254,0.286061227,0.34165746,0.431223303,0.381040066,0.647776723,0.638570487,0.263975501,0.351827234,0.452119794,,,
number,0.675331533,0.442850769,0.287519068,0.368314445,0.353795528,0.390473455,0.517260671,0.493198812,0.361331701,0.393326223,0.42834022,,,
state,0.590485513,0.447796524,0.502509177,0.491977006,0.513342202,0.642145336,0.594197392,0.632781386,0.504927516,0.509232104,0.542939416,,,
type,0.57239455,0.417364001,0.278889835,0.341609746,0.386623204,0.37449035,0.50913769,0.434623778,0.281463444,0.438327461,0.403492406,,,
example,0.475597233,0.376780599,0.256332099,0.233113408,0.322131813,0.329515964,0.41967988,0.405996263,0.241766244,0.333818555,0.339473206,,,
research,0.833398104,0.63692832,0.626930475,0.632130623,0.655180573,0.704172373,0.722551346,0.690545142,0.644603312,0.689428985,0.683586925,,,
new,0.542298377,0.404470772,0.369456977,0.348912746,0.402606577,0.468883961,0.475293249,0.50805223,0.343630373,0.484989762,0.434859502,,,
machine,0.665977836,0.535071373,0.363159984,0.294015884,0.521386147,0.505001247,0.80121839,0.664642215,0.384030849,0.37166363,0.510616755,,,
many,0.494911671,0.440763235,0.379976958,0.414878607,0.439142823,0.451712996,0.397374243,0.407554299,0.40407753,0.410694927,0.424108729,,,
