Word,Mean similarity all domains,Mean similarity except SS,Mean similarity except Lw,Mean similarity except Ec,Mean similarity except Ci,Mean similarity except At,Mean similarity except Li,Mean similarity except EE,Mean similarity except ME,Mean similarity except Sp,Mean similarity except Me
called,0.10775836613029241,0.10775836613029241,0.10869583632383081,0.12057601329353121,0.09913196062876119,0.11402992842098077,0.10821272660460737,0.10751550789508554,0.09538851574891144,0.11733606850935353,0.11536775881217586
part,0.15027838721871375,0.15027838721871375,0.15024146520429188,0.1576800470550855,0.1517735661731826,0.15910507573021782,0.14384288009670046,0.1483731675479147,0.15274947633345923,0.15132143514023888,0.14974086069398457
present,0.16768006905913352,0.16768006905913352,0.16467786745892632,0.16359147346682018,0.17201899074845844,0.1730752388636271,0.17356865108013153,0.16924935662084156,0.16500827918450037,0.1774365570810106,0.15869595027632183
another,0.1684315413236618,0.1684315413236618,0.16550559136602613,0.16589843564563328,0.17837258014414045,0.165678095486429,0.15829071402549744,0.170606662829717,0.16923347777790493,0.18273808227645028,0.17162825663884482
included,0.1704780336469412,0.1704780336469412,0.170790017892917,0.18277771274248758,0.172872730013397,0.17179793243606886,0.16491365060210228,0.15990884063972366,0.15881761867139074,0.17675677976674503,0.1772995214495394
along,0.17183230575174094,0.17183230575174094,0.16898189216024345,0.17664390864471594,0.16831903221706548,0.1777530029002163,0.16527798171672556,0.16386841134064728,0.16599357686936855,0.18824753910303116,0.17155655949480003
taken,0.19452522397041322,0.19452522397041322,0.20495923856894174,0.20276444074180391,0.19644488228691948,0.1870724293920729,0.19252381722132364,0.1997645762231615,0.18391518791516623,0.2071078974339697,0.19422946042484707
already,0.2010943591594696,0.2010943591594696,0.20226886537339953,0.2093563179175059,0.20399274759822422,0.20016984475983512,0.20301206078794268,0.19252918495072258,0.19325957033369276,0.2062942816151513,0.20939695007271236
entire,0.20257186330854893,0.20257186330854893,0.20229999265737003,0.21147726765937275,0.19450334087014198,0.2027675397694111,0.20224051715599167,0.2001292924914095,0.1981608093612724,0.21973187145259646,0.21493092220690516
full,0.2055968664586544,0.2055968664586544,0.21833925114737618,0.21970212045643064,0.20447655932770836,0.20832463022735384,0.20513636618852615,0.19237688101000255,0.1931637947758039,0.21039262662331262,0.2079007849097252
added,0.20704268887639046,0.20704268887639046,0.20906106879313788,0.22137368222077689,0.2208148298992051,0.1977155316207144,0.21330875241094166,0.19074423528379864,0.19819517019722196,0.2111352425482538,0.20955924110280144
originally,0.21795679666101933,0.21795679666101933,0.22436782262391514,0.23702894316779244,0.21339714899659157,0.2218032135731644,0.2207430141667525,0.20482430565688345,0.20672248841987717,0.22072527019513977,0.21903104790382916
previous,0.22956038862466813,0.22956038862466813,0.2307964712381363,0.22459159129195744,0.23227206534809536,0.23028938472270966,0.2275208963288201,0.22930284341176352,0.2261048671272066,0.23984423279762268,0.23109727104504904
main,0.2316667690873146,0.2316667690873146,0.24453647600279915,0.24101431998941633,0.231626957654953,0.2299844010008706,0.23262224263615078,0.2277132123708725,0.22080462674299875,0.23661925892035165,0.22867266171508366
addition,0.23197322189807892,0.23197322189807892,0.24318697883023155,0.24959132406446669,0.24114896853764853,0.230461276239819,0.22819889585177103,0.2211887174182468,0.21242707305484348,0.24457420077588823,0.2350014348824819
similar,0.2344462513923645,0.2344462513923645,0.23942605985535514,0.24737347000175053,0.23801495300398934,0.2385204384724299,0.23167335324817234,0.22566090358628166,0.22389880816141763,0.24293820725546944,0.23356009854210746
also,0.2371524840593338,0.2371524840593338,0.24642842511336008,0.24090038074387443,0.23881035215324825,0.23052901360723707,0.23353256119622123,0.23367114199532402,0.23335710830158657,0.2462590386470159,0.23959344791041481
made,0.2379290834069252,0.2379290834069252,0.23668591678142548,0.24294914801915488,0.2472484293911192,0.23492275178432465,0.23020250433021122,0.24245698750019073,0.23121639920605552,0.24418934517436558,0.24186238646507263
third,0.24341013580560683,0.24341013580560683,0.2460583613978492,0.25535622073544395,0.24508769479062822,0.24722320834795633,0.2453223615884781,0.24222623142931196,0.237411735786332,0.24797176983621386,0.2300280514690611
whose,0.24818504974246025,0.24818504974246025,0.24900327374537787,0.25679196500115925,0.2509575891825888,0.24603354185819626,0.2429778070913421,0.2506570542852084,0.23333324905898836,0.2534814087880982,0.263434949848387
starting,0.251043026894331,0.251043026894331,0.2526230754123794,0.26619011329280007,0.25232317795356113,0.25024518618981045,0.24470964322487512,0.24167771389087042,0.2379881731337971,0.2600344609883096,0.2571881057487594
come,0.2516179919242859,0.2516179919242859,0.2572435322735045,0.25900952683554757,0.2580254077911377,0.24788833989037407,0.2531668461031384,0.24926589594946968,0.24781574143303764,0.25336669385433197,0.2554830395513111
section,0.25210044011473653,0.25210044011473653,0.24129755546649298,0.25869954542981255,0.25686417437262005,0.2696378073758549,0.2503604450159603,0.24687117586533228,0.23738938487238354,0.2672222720252143,0.24710253129402796
